trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
252,False,"{'a': 0.01, 'e': 0.08126823924089167}",25,16,16.501110100954985,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.01, 'e': 0.08045960674953244}",20,10,16.330178888109337,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.01, 'e': 0.07965902028589801}",30,19,21.801739277242774,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.01, 'e': 0.07886639979067495}",20,12,19.521003543982076,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.01, 'e': 0.07808166600115313}",25,2,-6.345582480927641,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
257,False,"{'a': 0.01, 'e': 0.07730474044329974}",30,8,42.45318465339769,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.01, 'e': 0.07653554542391151}",25,16,13.957153263942393,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.01, 'e': 0.07577400402284548}",25,0,39.64599539387227,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
260,False,"{'a': 0.01, 'e': 0.07502004008532698}",25,2,-53.412275942732904,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
261,False,"{'a': 0.01, 'e': 0.07427357821433388}",20,0,-8.953710138959728,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
262,False,"{'a': 0.01, 'e': 0.0735345437630571}",30,17,23.883897320229202,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.01, 'e': 0.07280286282743559}",30,20,21.4052431223551,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.01, 'e': 0.0720784622387661}",25,13,25.104847503745702,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.01, 'e': 0.07136126955638605}",20,2,30.508933677981872,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.01, 'e': 0.0706512130604296}",25,2,12.592644777682489,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
267,False,"{'a': 0.01, 'e': 0.06994822174465536}",20,6,22.077276211247916,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.01, 'e': 0.069252225309346}",30,8,39.68426320732995,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.01, 'e': 0.06856315415427791}",25,13,21.531171484575427,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.01, 'e': 0.06788093937176144}",25,19,11.789244114022843,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.01, 'e': 0.06720551273974976}",30,13,-24.566999754966243,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
